make,model,variant,model_variant
Hyundai,Alcazar,2.0 SIGNATURE (O) AT 7STR,Alcazar Signature
Hyundai,Sonata,2.4 GDi AT,Sonata GDI
Hyundai,Santa Fe,2WD AT [2014-2017],Santa Fe 2WD
Hyundai,Tucson,2WD AT GLS Diesel,Tucson 2WD
Hyundai,Tucson,2WD MT PETROL,Tucson 2WD
Hyundai,Tucson,2WD MT Petrol,Tucson 2WD
Hyundai,Santa Fe,4 WD (AT),Santa Fe 4 WD
Hyundai,Elite i20,ASTA (O) CVT,Elite i20 Asta
Hyundai,Grand i10,ASTA (O) 1.2 KAPPA VTVT,Grand i10 Asta
Hyundai,Grand i10,ASTA (O) AT 1.2 KAPPA VTVT,Grand i10 Asta
Hyundai,i20,Asta (O) 1.0 Turbo DCT [2020-2023],i20 Asta
Hyundai,i20,Asta (O) 1.2 MT [2020-2023],i20 Asta
Hyundai,NEW I20,ASTA (O) 1.0 TURBO GDI DCT,NEW I20 Asta
Hyundai,NEW I20,ASTA (O) 1.2 AT,NEW I20 Asta
Hyundai,NEW I20,ASTA (O) 1.2 MT,NEW I20 Asta
Hyundai,NEW I20,ASTA (O) 1.5 CRDI MT,NEW I20 Asta
Hyundai,Santro,Asta [2018-2020],Santro Asta
Hyundai,i20,Asta 1.0 Turbo IMT,i20 Asta
Hyundai,NEW I20,ASTA 1.0 TURBO IMT DUAL TONE,NEW I20 Asta
Hyundai,NEW I20,Asta 1.0 GDI Turbo IMT,NEW I20 Asta
Hyundai,Grand i10,ASTA 1.1 CRDI,Grand i10 Asta
Hyundai,Elite i20,ASTA 1.2,Elite i20 Asta
Hyundai,Elite i20,ASTA 1.2  CVT,Elite i20 Asta
Hyundai,Elite i20,ASTA 1.2 (O),Elite i20 Asta
Hyundai,Elite i20,ASTA 1.2 DUAL TONE,Elite i20 Asta
Hyundai,Elite i20,Asta 1.2,Elite i20 Asta
Hyundai,Elite i20,Asta 1.2 (O),Elite i20 Asta
Hyundai,Elite i20,Asta 1.2 (O) CVT [2019-2020],Elite i20 Asta
Hyundai,Elite i20,Asta 1.2 (O) [2016],Elite i20 Asta
Hyundai,Elite i20,Asta 1.2 (O) [2019-2020],Elite i20 Asta
Hyundai,Elite i20,Asta 1.2 AT,Elite i20 Asta
Hyundai,Grand i10,ASTA 1.2 KAPPA VTVT,Grand i10 Asta
Hyundai,Grand i10,Asta 1.2 Kappa VTVT,Grand i10 Asta
Hyundai,Grand i10,Asta 1.2 Kappa VTVT (O) [2013-2017],Grand i10 Asta
Hyundai,Grand i10,Asta 1.2 Kappa VTVT [2013-2016],Grand i10 Asta
Hyundai,Grand i10 Nios,ASTA 1.2 KAPPA VTVT,Grand i10 Nios Asta
Hyundai,Grand i10 Nios,Asta 1.2 Kappa VTVT,Grand i10 Nios Asta
Hyundai,i10,ASTA 1.2,i10 Asta
Hyundai,i20,ASTA 1.2,i20 Asta
Hyundai,i20,Asta 1.2,i20 Asta
Hyundai,i20,Asta 1.2 MT [2020-2023],i20 Asta
Hyundai,NEW I20,ASTA 1.2 AT,NEW I20 Asta
Hyundai,NEW I20,ASTA 1.2 MT,NEW I20 Asta
Hyundai,Elite i20,ASTA 1.4 CRDI,Elite i20 Asta
Hyundai,Elite i20,ASTA 1.4 CRDI (O),Elite i20 Asta
Hyundai,Elite i20,Asta 1.4 (O) CRDi,Elite i20 Asta
Hyundai,Elite i20,Asta 1.4 CRDi,Elite i20 Asta
Hyundai,i20,ASTA 1.4 CRDI,i20 Asta
Hyundai,i20,Asta 1.4 CRDI with AVN 6 Speed,i20 Asta
Hyundai,Grand i10 Nios,ASTA AMT 1.2 KAPPA VTVT,Grand i10 Nios Asta
Hyundai,Grand i10 Nios,Asta AMT 1.2 Kappa VTVT,Grand i10 Nios Asta
Hyundai,NEW SANTRO,ASTA AMT,NEW SANTRO Asta
Hyundai,Grand i10,ASTA AT 1.2 KAPPA VTVT,Grand i10 Asta
Hyundai,Grand i10,Asta AT 1.2 Kappa VTVT (O) [2016-2017],Grand i10 Asta
Hyundai,Grand i10,Asta AT 1.2 Kappa VTVT [2013-2016],Grand i10 Asta
Hyundai,NEW SANTRO,ASTA MT,NEW SANTRO Asta
Hyundai,NEW I20,ASTA(O) 1.0TURBO DCT DUAL TONE,NEW I20 Asta
Hyundai,Xcent,BASE 1.2,Xcent Base
Hyundai,Xcent,Base 1.2,Xcent Base
Hyundai,Creta,BASE 1.4 DIESEL,Creta Base
Hyundai,Creta,BASE 1.6 PETROL,Creta Base
Hyundai,Accent,CNG,Accent CNG
Hyundai,Eon,D-Lite +,Eon Dlite
Hyundai,i10,D-Lite 1.1 iRDE2,i10 Dlite
Hyundai,Eon,D-LITE+,Eon Dlite
Hyundai,Venue,E 1.2 Petrol [2019-2020],Venue E
Hyundai,Verna,E 1.4 VTVT,Verna E
Hyundai,Creta,E 1.5 Diesel [2020-2022],Creta E
Hyundai,Creta,E 1.6 PETROL,Creta E
Hyundai,Xcent,E CRDi,Xcent E
Hyundai,Creta,E PLUS 1.4 DIESEL,Creta E
Hyundai,Creta,E PLUS 1.6 PETROL,Creta E
Hyundai,Creta,E Plus 1.4 CRDI,Creta E
Hyundai,Creta,E Plus 1.6 Petrol,Creta E
Hyundai,Xcent,E Plus,Xcent E
Hyundai,Xcent,E+,Xcent E
Hyundai,Eon,ERA,Eon ERA
Hyundai,Eon,ERA +,Eon ERA
Hyundai,Eon,Era +,Eon ERA
Hyundai,Eon,Era + AirBag,Eon ERA
Hyundai,i10,ERA 1.1,i10 ERA
Hyundai,i10,Era 1.1 iRDE2 [2010-2017],i10 ERA
Hyundai,Elite i20,ERA 1.2,Elite i20 ERA
Hyundai,Elite i20,Era 1.2,Elite i20 ERA
Hyundai,Grand i10,ERA 1.2 KAPPA VTVT,Grand i10 ERA
Hyundai,Grand i10,Era 1.2 Kappa VTVT,Grand i10 ERA
Hyundai,NEW SANTRO,ERA EXECUTIVE,NEW SANTRO ERA
Hyundai,Santro,Era Executive,Santro ERA
Hyundai,Santro,Era Executive [2019-2020],Santro ERA
Hyundai,Eon,ERA PLUS (O),Eon ERA
Hyundai,Verna,EX 1.4 VTVT,Verna EX
Hyundai,Creta,EX 1.5 Diesel [2020-2022],Creta EX
Hyundai,Creta,EX 1.5 PETROL,Creta EX
Hyundai,Creta,EX 1.5 Petrol [2020-2022],Creta EX
Hyundai,Verna,EX 1.6 CRDi [2017-2018],Verna EX
Hyundai,Verna,EX 1.6 VTVT AT [2017-2018],Verna EX
Hyundai,Verna,EX 1.6 VTVT [2017-2018],Verna EX
Hyundai,Verna,Fluidic 1.4 CRDi,Verna Base
Hyundai,Verna,Fluidic 1.4 CRDi EX,Verna EX
Hyundai,Verna,FLUIDIC 1.4 VTVT,Verna Base
Hyundai,Verna,Fluidic 1.4 VTVT,Verna Base
Hyundai,Verna,Fluidic 1.6 CRDi,Verna Base
Hyundai,Verna,FLUIDIC 1.6 CRDI S 4S,Verna SX
Hyundai,Verna,FLUIDIC 1.6 CRDI SX,Verna SX
Hyundai,Verna,Fluidic 1.6 CRDi SX,Verna SX
Hyundai,Verna,Fluidic 1.6 VTVT,Verna Base
Hyundai,Verna,FLUIDIC 1.6 VTVT EX,Verna EX
Hyundai,Santro Xing,GL,Santro Xing GL
Hyundai,Tucson,GL 2WD AT Petrol,Tucson GL
Hyundai,Santro Xing,GL PLUS,Santro Xing GL
Hyundai,Santro Xing,GL Plus,Santro Xing GL
Hyundai,Santro Xing,GLS,Santro Xing GLS
Hyundai,Santro Xing,GLS PLUS AUDIO,Santro Xing GLS
Hyundai,Getz,GVS,Getz GVS
Hyundai,i10,Magna,i10 Magna
Hyundai,NEW SANTRO,MAGNA,NEW SANTRO Magna
Hyundai,i20,MAGNA (O) 1.2,i20 Magna
Hyundai,i20,MAGNA (O) 1.4 CRDI,i20 Magna
Hyundai,i20,Magna (O) 1.2,i20 Magna
Hyundai,i20,Magna (O) 1.4 CRDI,i20 Magna
Hyundai,Santro,Magna [2018-2020],Santro Magna
Hyundai,Eon,MAGNA +,Eon Magna
Hyundai,Eon,Magna +,Eon Magna
Hyundai,Grand i10,MAGNA 1.1 CRDI,Grand i10 Magna
Hyundai,Grand i10,Magna 1.1 CRDi [2013-2016],Grand i10 Magna
Hyundai,Grand i10,Magna 1.1 CRDi [2016-2017],Grand i10 Magna
Hyundai,i10,MAGNA 1.1,i10 Magna
Hyundai,i10,Magna 1.1 LPG,i10 Magna
Hyundai,i10,Magna 1.1 iRDE2 [2010-2017],i10 Magna
Hyundai,NEW SANTRO,MAGNA 1.1 CORPORATE EDITION,NEW SANTRO Magna
Hyundai,Elite i20,MAGNA 1.2,Elite i20 Magna
Hyundai,Elite i20,Magna 1.2,Elite i20 Magna
Hyundai,Elite i20,Magna 1.2 [2016-2017],Elite i20 Magna
Hyundai,Grand i10,MAGNA 1.2 KAPPA VTVT,Grand i10 Magna
Hyundai,Grand i10,Magna 1.2 Kappa VTVT,Grand i10 Magna
Hyundai,Grand i10,Magna 1.2 Kappa VTVT CNG,Grand i10 Magna
Hyundai,Grand i10,Magna 1.2 Kappa VTVT CNG [2019-2020],Grand i10 Magna
Hyundai,Grand i10,Magna 1.2 Kappa VTVT [2013-2016],Grand i10 Magna
Hyundai,Grand i10,Magna 1.2 Kappa VTVT [2016-2017],Grand i10 Magna
Hyundai,Grand i10 Nios,MAGNA 1.2 KAPPA VTVT,Grand i10 Nios Magna
Hyundai,Grand i10 Nios,Magna 1.2 Kappa VTVT,Grand i10 Nios Magna
Hyundai,i10,MAGNA 1.2,i10 Magna
Hyundai,i10,Magna 1.2,i10 Magna
Hyundai,i10,Magna 1.2 Kappa2,i10 Magna
Hyundai,i20,MAGNA 1.2,i20 Magna
Hyundai,i20,Magna 1.2,i20 Magna
Hyundai,i20,Magna 1.2 MT,i20 Magna
Hyundai,i20,Magna 1.2 MT [2020-2023],i20 Magna
Hyundai,Elite i20,Magna 1.4 CRDI,Elite i20 Magna
Hyundai,i20,Magna 1.4 CRDI,i20 Magna
Hyundai,NEW SANTRO,MAGNA AMT,NEW SANTRO Magna
Hyundai,Grand i10,MAGNA AT 1.2 KAPPA VTVT,Grand i10 Magna
Hyundai,NEW SANTRO,MAGNA CNG,NEW SANTRO Magna
Hyundai,Grand i10 Nios,MAGNA CORPORATE EDITION 1.2 KAPPA VTVT,Grand i10 Nios Magna
Hyundai,Elite i20,MAGNA EXECUTIVE 1.2,Elite i20 Magna
Hyundai,Elite i20,MAGNA PLUS 1.2,Elite i20 Magna
Hyundai,Elite i20,MAGNA PLUS 1.4 CRDI,Elite i20 Magna
Hyundai,Elite i20,Magna Plus 1.2 [2019-2020],Elite i20 Magna
Hyundai,Elite i20,Magna Plus 1.4 CRDi,Elite i20 Magna
Hyundai,Grand i10,MAGNA U2 1.2 CRDI,Grand i10 Magna
Hyundai,i20 N Line,N6 1.0 Turbo iMT,i20 N Line N6
Hyundai,NEW I20 N LINE,N6 1.0 TURBO GDI IMT,NEW I20 N LINE N6
Hyundai,i20 N Line,N8 1.0 Turbo DCT,i20 N Line N8
Hyundai,i20 N Line,N8 1.0 Turbo iMT Dual Tone,i20 N Line N8
Hyundai,NEW I20 N LINE,N8 1.0 TURBO GDI DCT,NEW I20 N LINE N8
Hyundai,NEW I20 N LINE,N8 1.0 TURBO GDI IMT,NEW I20 N LINE N8
Hyundai,Alcazar,Platinum (O) 6 STR 2.0 Petrol AT,Alcazar Platinum
Hyundai,Alcazar,PLATINUM 1.5 MT 7STR,Alcazar Platinum
Hyundai,Tucson,Platinum 2.0 AT Petrol [2022-2023],Tucson Platinum
Hyundai,Kona Electric,Premium,Kona Electric Premium
Hyundai,Alcazar,PRESTIGE (O) 6STR 2.0 AT,Alcazar Prestige
Hyundai,Alcazar,Prestige (O) 7 STR 1.5 Diesel AT,Alcazar Prestige
Hyundai,Venue,S (O) 1.0 TURBO IMT,Venue S
Hyundai,Venue,S (O) 1.0 Turbo DCT,Venue S
Hyundai,Venue,S (O) 1.2 Petrol,Venue S
Hyundai,Xcent,S (O) 1.2,Xcent S
Hyundai,Venue,S 1.0 TURBO DCT,Venue S
Hyundai,Venue,S 1.0 TURBO IMT,Venue S
Hyundai,Venue,S 1.0 Turbo DCT,Venue S
Hyundai,Aura,S 1.2,Aura S
Hyundai,Aura,S 1.2 CNG,Aura S
Hyundai,Aura,S 1.2 Petrol,Aura S
Hyundai,Venue,S 1.2,Venue S
Hyundai,Venue,S 1.2 Petrol,Venue S
Hyundai,Venue,S 1.2 Petrol [2019-2020],Venue S
Hyundai,Xcent,S 1.2,Xcent S
Hyundai,Xcent,S 1.2 (O),Xcent S
Hyundai,Xcent,S 1.2 Special Edition,Xcent S
Hyundai,Creta,S 1.4 CRDI,Creta S
Hyundai,Creta,S 1.4 DIESEL,Creta S
Hyundai,Venue,S 1.4 CRDI,Venue S
Hyundai,Creta,S 1.5 PETROL,Creta S
Hyundai,Creta,S 1.5 Petrol [2020-2022],Creta S
Hyundai,Creta,S 1.6 AT CRDi,Creta S
Hyundai,Creta,S 1.6 PETROL,Creta S
Hyundai,Xcent,S AT 1.2,Xcent S
Hyundai,Xcent,S AT 1.2 (O),Xcent S
Hyundai,Creta,S PLUS 1.4 DIESEL,Creta S
Hyundai,Creta,S Plus 1.4 CRDI,Creta S
Hyundai,Venue,S Plus 1.2 Petrol,Venue S
Hyundai,Verna,S Plus 1.5 CRDi,Verna S
Hyundai,Verna,S Plus 1.5 VTVT,Verna S
Hyundai,Venue,S(O) 1.2,Venue S
Hyundai,Venue,S+ 1.2,Venue S
Hyundai,Alcazar,Signature (O) 6 STR 1.5 Diesel AT,Alcazar Signature
Hyundai,Alcazar,Signature (O) 7 Seater 2.0 Petrol AT,Alcazar Signature
Hyundai,Alcazar,Signature 6 STR 2.0 Petrol,Alcazar Signature
Hyundai,Grand i10,Sports Edition 1.2L Kappa VTVT,Grand i10 Sportz
Hyundai,Eon,SPORTZ,Eon Sportz
Hyundai,Eon,Sportz,Eon Sportz
Hyundai,Santro,Sportz,Santro Sportz
Hyundai,Grand i10,SPORTZ (O) 1.2 KAPPA VTVT,Grand i10 Sportz
Hyundai,Grand i10,SPORTZ (O) AT 1.2 KAPPA VTVT,Grand i10 Sportz
Hyundai,Grand i10,Sportz (O) 1.2 Kappa VTVT [2017-2018],Grand i10 Sportz
Hyundai,Grand i10,Sportz (O) AT 1.2 Kappa VTVT [2017-2018],Grand i10 Sportz
Hyundai,Grand i10,Sportz (O) U2 1.2 CRDi [2017-2018],Grand i10 Sportz
Hyundai,i20,SPORTZ (O) 1.2,i20 Sportz
Hyundai,NEW I20,Sportz (O) 1.2 IVT,NEW I20 Sportz
Hyundai,Santro,Sportz [2018-2020],Santro Sportz
Hyundai,Grand i10 Nios,SPORTZ 1.0 TURBO GDI,Grand i10 Nios Sportz
Hyundai,i20,Sportz 1.0 Turbo IMT,i20 Sportz
Hyundai,NEW I20,SPORTZ 1.0T GDI IMT,NEW I20 Sportz
Hyundai,NEW I20,SPORTZ 1.0TURBO DCT,NEW I20 Sportz
Hyundai,i10,SPORTZ 1.1,i10 Sportz
Hyundai,i10,Sportz 1.1 LPG [2010-2017],i10 Sportz
Hyundai,i10,Sportz 1.1 iRDE2 [2010--2017],i10 Sportz
Hyundai,Elite i20,SPORTZ 1.2,Elite i20 Sportz
Hyundai,Elite i20,SPORTZ 1.2 (O),Elite i20 Sportz
Hyundai,Elite i20,Sportz 1.2,Elite i20 Sportz
Hyundai,Elite i20,Sportz 1.2 (O),Elite i20 Sportz
Hyundai,Elite i20,Sportz 1.2 [2016-2017],Elite i20 Sportz
Hyundai,Grand i10,SPORTZ 1.2 KAPPA VTVT,Grand i10 Sportz
Hyundai,Grand i10,SPORTZ 1.2 KAPPA VTVT DUAL TONE,Grand i10 Sportz
Hyundai,Grand i10,Sportz 1.2 Kappa VTVT,Grand i10 Sportz
Hyundai,Grand i10,Sportz 1.2 Kappa VTVT [2013-2016],Grand i10 Sportz
Hyundai,Grand i10,Sportz 1.2 Kappa VTVT [2016-2017],Grand i10 Sportz
Hyundai,Grand i10 Nios,SPORTZ 1.2 KAPPA VTVT,Grand i10 Nios Sportz
Hyundai,Grand i10 Nios,SPORTZ 1.2 KAPPA VTVT CNG,Grand i10 Nios Sportz
Hyundai,Grand i10 Nios,SPORTZ 1.2 KAPPA VTVT DUAL TONE,Grand i10 Nios Sportz
Hyundai,Grand i10 Nios,Sportz 1.2 Kappa VTVT,Grand i10 Nios Sportz
Hyundai,Grand i10 Nios,Sportz 1.2 Kappa VTVT CNG,Grand i10 Nios Sportz
Hyundai,Grand i10 Nios,Sportz 1.2 Kappa VTVT [2023],Grand i10 Nios Sportz
Hyundai,i10,SPORTZ 1.2,i10 Sportz
Hyundai,i10,SPORTZ 1.2 AT,i10 Sportz
Hyundai,i10,Sportz 1.2,i10 Sportz
Hyundai,i10,Sportz 1.2 AT,i10 Sportz
Hyundai,i10,Sportz 1.2 AT Kappa2,i10 Sportz
Hyundai,i10,Sportz 1.2 Kappa2,i10 Sportz
Hyundai,i20,SPORTZ 1.2,i20 Sportz
Hyundai,i20,Sportz 1.2,i20 Sportz
Hyundai,i20,Sportz 1.2 (O),i20 Sportz
Hyundai,i20,Sportz 1.2 BS-IV,i20 Sportz
Hyundai,i20,Sportz 1.2 IVT Dual Tone,i20 Sportz
Hyundai,i20,Sportz 1.2 IVT [2020-2023],i20 Sportz
Hyundai,i20,Sportz 1.2 MT [2020-2023],i20 Sportz
Hyundai,NEW I20,SPORTZ 1.2 AT,NEW I20 Sportz
Hyundai,NEW I20,SPORTZ 1.2 MT,NEW I20 Sportz
Hyundai,NEW I20,SPORTZ 1.2 MT DUAL TONE,NEW I20 Sportz
Hyundai,Elite i20,SPORTZ 1.4 CRDI,Elite i20 Sportz
Hyundai,Elite i20,Sportz 1.4 (O),Elite i20 Sportz
Hyundai,i20,SPORTZ 1.4 AT,i20 Sportz
Hyundai,i20,SPORTZ 1.4 CRDI,i20 Sportz
Hyundai,i20,Sportz 1.4 CRDI,i20 Sportz
Hyundai,i20,Sportz 1.4 CRDI 6 Speed BS-IV,i20 Sportz
Hyundai,NEW I20,SPORTZ 1.5 MT,NEW I20 Sportz
Hyundai,Grand i10 Nios,SPORTZ AMT 1.2 KAPPA VTVT,Grand i10 Nios Sportz
Hyundai,Grand i10 Nios,Sportz AMT 1.2 Kappa VTVT,Grand i10 Nios Sportz
Hyundai,NEW SANTRO,SPORTZ AMT,NEW SANTRO Sportz
Hyundai,Santro,Sportz AMT,Santro Sportz
Hyundai,Santro,Sportz AMT [2018-2020],Santro Sportz
Hyundai,Grand i10,SPORTZ AT 1.2 KAPPA VTVT,Grand i10 Sportz
Hyundai,Grand i10,Sportz AT 1.2 Kappa VTVT,Grand i10 Sportz
Hyundai,NEW SANTRO,SPORTZ CNG,NEW SANTRO Sportz
Hyundai,Santro,Sportz CNG [2018-2020],Santro Sportz
Hyundai,NEW SANTRO,SPORTZ EXECUTIVE MT CNG,NEW SANTRO Sportz
Hyundai,NEW SANTRO,SPORTZ MT,NEW SANTRO Sportz
Hyundai,Elite i20,SPORTZ PLUS  1.2 CVT,Elite i20 Sportz
Hyundai,Elite i20,SPORTZ PLUS 1.2,Elite i20 Sportz
Hyundai,Elite i20,SPORTZ PLUS 1.4 CRDI,Elite i20 Sportz
Hyundai,Elite i20,Sportz Plus 1.4 CRDi,Elite i20 Sportz
Hyundai,Grand i10,Sportz U2 1.2 CRDi,Grand i10 Sportz
Hyundai,Grand i10 Nios,SPORTZ U2 1.2 CRDI,Grand i10 Nios Sportz
Hyundai,Grand i10 Nios,SPORTZ U2 AMT 1.2 CRDI,Grand i10 Nios Sportz
Hyundai,Grand i10 Nios,Sportz U2 1.2 CRDi [2020-2020],Grand i10 Nios Sportz
Hyundai,Creta,1.6 CRDI SX PLUS AUTO,Creta SX
Hyundai,Verna,1.6 CRDI SX,Verna SX
Hyundai,Verna,1.6 CRDI SX (O),Verna SX
Hyundai,Verna,1.6 CRDI SX (O) AT,Verna SX
Hyundai,Fluidic Verna 4S,1.6 VTVT SX,Fluidic Verna 4S SX
Hyundai,Verna,1.6 VTVT SX,Verna SX
Hyundai,Verna,1.6 VTVT SX (O) AT,Verna SX
Hyundai,Verna,1.6 VTVT SX + AT,Verna SX
Hyundai,Verna,1.6 VTVT SX AT,Verna SX
Hyundai,Verna,1.6 VTVT SX O,Verna SX
Hyundai,Verna,FLUIDIC 1.6 VTVT SX,Verna SX
Hyundai,Verna,Fluidic 1.6 VTVT SX,Verna SX
Hyundai,Verna,FLUIDIC 1.6 VTVT SX AT,Verna SX
Hyundai,Verna,Fluidic 1.6 VTVT SX AT,Verna SX
Hyundai,Verna,FLUIDIC 1.6 VTVT SX OPT,Verna SX
Hyundai,Verna,Fluidic 1.6 VTVT SX Opt,Verna SX
Hyundai,Verna,FLUIDIC 4S 1.6 VTVT S,Verna S
Hyundai,Verna,FLUIDIC 4S 1.6 VTVT S(O),Verna S
Hyundai,i20 Active,1.2 SX,i20 Active SX
Hyundai,i20 Active,1.4 SX,i20 Active SX
Hyundai,Creta,1.6 SX,Creta SX
Hyundai,Creta,1.6 SX (O),Creta SX
Hyundai,Creta,1.6 SX Plus,Creta SX
Hyundai,Creta,1.6 SX Plus AT,Creta SX
Hyundai,Creta,1.6 SX Plus AT Petrol,Creta SX
Hyundai,Creta,1.6 SX Plus Petrol,Creta SX
Hyundai,Creta,1.6 SX Plus Special Edition,Creta SX
Hyundai,Elantra,1.6 SX (O),Elantra SX
Hyundai,Elantra,1.6 SX (O) AT,Elantra SX
Hyundai,Elantra,1.6 SX MT,Elantra SX
Hyundai,New Elantra,1.6 SX (O) AT DIESEL,New Elantra SX
Hyundai,Verna,1.6 SX (O) CRDI MT,Verna SX
Hyundai,Elantra,1.8 SX MT,Elantra SX
Hyundai,Elantra,2.0 SX (O),Elantra SX
Hyundai,Elantra,2.0 SX (O) AT,Elantra SX
Hyundai,Elantra,2.0 SX MT,Elantra SX
Hyundai,New Elantra,2.0 SX AT PETROL,New Elantra SX
Hyundai,New Elantra,2.0 SX MT PETROL,New Elantra SX
Hyundai,New Elantra,2.0 SX(O) AT PETROL,New Elantra SX
Hyundai,Creta,SX (O) 1.4 TURBO DCT,Creta SX
Hyundai,Creta,SX (O) 1.4 TURBO DCT DUAL TONE,Creta SX
Hyundai,Creta,SX (O) 1.4 Turbo 7 DCT Dual Tone [2022-2022],Creta SX
Hyundai,Creta,SX (O) 1.4 Turbo 7 DCT [2020-2022],Creta SX
Hyundai,Creta,SX (O) 1.5 DIESEL,Creta SX
Hyundai,Creta,SX (O) 1.5 Diesel Automatic [2020-2022],Creta SX
Hyundai,Creta,SX (O) 1.5 Diesel [2020-2022],Creta SX
Hyundai,Creta,SX (O) 1.5 Petrol CVT,Creta SX
Hyundai,Creta,SX (O) 1.5 Petrol CVT [2020-2022],Creta SX
Hyundai,Creta,SX (O) 1.6 DIESEL,Creta SX
Hyundai,Creta,SX (O) 1.6 PETROL,Creta SX
Hyundai,Creta,SX (O) AT 1.5 DIESEL,Creta SX
Hyundai,Creta,SX (O) EXECUTIVE 1.6 PETROL,Creta SX
Hyundai,Creta,SX (O) IVT 1.5 PETROL,Creta SX
Hyundai,Creta,SX (O) IVT KNIGHT 1.5 PETROL,Creta SX
Hyundai,Elantra,SX (O) 2.0 AT,Elantra SX
Hyundai,Exter,SX (O) Connect 1.2 MT,Exter SX
Hyundai,Venue,SX (O) 1.0 TURBO DCT,Venue SX
Hyundai,Venue,SX (O) 1.0 Turbo,Venue SX
Hyundai,Venue,SX (O) 1.0 Turbo iMT,Venue SX
Hyundai,Venue,SX (O) 1.5 CRDI,Venue SX
Hyundai,Verna,SX (O) 1.5 CRDI AT,Verna SX
Hyundai,Verna,SX (O) 1.5 Petrol IVT,Verna SX
Hyundai,Verna,SX (O) 1.5 VTVT IVT,Verna SX
Hyundai,Verna,SX (O) 1.6 CRDi  AT,Verna SX
Hyundai,Verna,SX (O) AT Anniversary Edition 1.6 VTVT,Verna SX
Hyundai,Verna,SX (O) Anniversary Edition 1.6 CRDi,Verna SX
Hyundai,Verna,SX (O)1.5 MPi,Verna SX
Hyundai,Verna,SX (O)1.5 VTVT,Verna SX
Hyundai,Venue,SX 1.0 (O) TURBO,Venue SX
Hyundai,Venue,SX 1.0 (O) TURBO IMT,Venue SX
Hyundai,Venue,SX 1.0 Petrol [2019-2020],Venue SX
Hyundai,Venue,SX 1.0 TURBO,Venue SX
Hyundai,Venue,SX 1.0 TURBO IMT,Venue SX
Hyundai,Venue,SX 1.0 Turbo,Venue SX
Hyundai,Venue,SX 1.0 Turbo iMT,Venue SX
Hyundai,Aura,SX 1.2,Aura SX
Hyundai,Aura,SX 1.2 (O),Aura SX
Hyundai,Aura,SX 1.2 (O) Petrol,Aura SX
Hyundai,Aura,SX 1.2 CNG,Aura SX
Hyundai,Exter,SX 1.2 MT,Exter SX
Hyundai,Venue,SX 1.2 PETROL,Venue SX
Hyundai,Venue,SX 1.2 PETROL DUAL TONE,Venue SX
Hyundai,Venue,SX 1.2 Petrol,Venue SX
Hyundai,Xcent,SX 1.2,Xcent SX
Hyundai,Xcent,SX 1.2 (O),Xcent SX
Hyundai,Creta,SX 1.4 Turbo 7 DCT,Creta SX
Hyundai,Venue,SX 1.4 (O) CRDi,Venue SX
Hyundai,Creta,SX 1.5 DIESEL,Creta SX
Hyundai,Creta,SX 1.5 Diesel Automatic,Creta SX
Hyundai,Creta,SX 1.5 Diesel Executive,Creta SX
Hyundai,Creta,SX 1.5 Diesel [2020-2022],Creta SX
Hyundai,Creta,SX 1.5 PETROL,Creta SX
Hyundai,Creta,SX 1.5 Petrol CVT [2020-2022],Creta SX
Hyundai,Creta,SX 1.5 Petrol [2020-2022],Creta SX
Hyundai,Venue,SX 1.5 (O) EXECUTIVE CRDI,Venue SX
Hyundai,Venue,SX 1.5 CRDI,Venue SX
Hyundai,Venue,SX 1.5 CRDi,Venue SX
Hyundai,Verna,SX 1.5 CRDi AT,Verna SX
Hyundai,Verna,SX 1.5 Turbo Petrol DCT,Verna SX
Hyundai,Verna,SX 1.5 VTVT,Verna SX
Hyundai,Verna,SX 1.5 VTVT IVT,Verna SX
Hyundai,Verna,SX 1.5 l MPI,Verna SX
Hyundai,Creta,SX 1.6 (O) Petrol,Creta SX
Hyundai,Creta,SX 1.6 AT CRDi,Creta SX
Hyundai,Creta,SX 1.6 AT Petrol,Creta SX
Hyundai,Creta,SX 1.6 CRDI,Creta SX
Hyundai,Creta,SX 1.6 CRDi,Creta SX
Hyundai,Creta,SX 1.6 CRDi (O),Creta SX
Hyundai,Creta,SX 1.6 DIESEL,Creta SX
Hyundai,Creta,SX 1.6 DIESEL DUAL TONE,Creta SX
Hyundai,Creta,SX 1.6 Dual Tone Petrol,Creta SX
Hyundai,Creta,SX 1.6 PETROL,Creta SX
Hyundai,Creta,SX 1.6 PETROL DUAL TONE,Creta SX
Hyundai,Creta,SX 1.6 Petrol,Creta SX
Hyundai,Verna,SX 1.6 CRDi,Verna SX
Hyundai,Elantra,SX 2.0 AT,Elantra SX
Hyundai,Creta,SX AT 1.5 DIESEL,Creta SX
Hyundai,Creta,SX AT 1.6 DIESEL,Creta SX
Hyundai,Creta,SX AT 1.6 PETROL,Creta SX
Hyundai,Xcent,SX AT 1.2 (O),Xcent SX
Hyundai,Creta,SX IVT 1.5 PETROL,Creta SX
Hyundai,Aura,SX PLUS 1.2 AMT,Aura SX
Hyundai,Aura,SX PLUS 1.2 AMT CRDI,Aura SX
Hyundai,Aura,SX Plus 1.2 AMT Petrol,Aura SX
Hyundai,Creta,SX PLUS  ANNIVERSARY EDITION 1.6 PETROL,Creta SX
