srno,make,model,variant,n,new_variant,FORMULA,Column1,,,2158,1095,871
143,BMW,X5,xDrive30d Pure Experience (7 Seater),2,xDrive,xDrive30d Pure,xDrive30d Pure,,,,,
144,BMW,X5,xDrive30d xLine,4,xDrive,xDrive30d xLine,xDrive30d xLine,,,,,
145,BMW,X5,xDrive40i M Sport,2,xDrive Sport,xDrive40i M,xDrive40i M,,,,,
146,BMW,X5,xDrive40i M Sport [2019-2019],2,xDrive Sport,xDrive40i M,xDrive40i M,,,,,
147,BMW,X6,xDrive 40d,1,xDrive,xDrive 40d,xDrive 40d,,,,,
148,BMW,X6,xDrive40i M Sport [2020-2023],1,xDrive Sport,xDrive40i M,xDrive40i M,,,,,
149,BMW,X7,xDrive 40i [2019-2019],1,xDrive,xDrive 40i,xDrive 40i,,,,,
150,BMW,X7,xDrive30d DPE Signature 7STR,1,xDrive,xDrive30d DPE,xDrive30d DPE,,,,,
151,BMW,X7,xDrive30d DPE Signature [2019-2020],2,xDrive,xDrive30d DPE,xDrive30d DPE,,,,,
152,BMW,X7,xDrive40d M Sport,1,xDrive Sport,xDrive40d M,xDrive40d M,,,,,
153,BMW,X7,xDrive40d M Sport [2023],1,xDrive Sport,xDrive40d M,xDrive40d M,,,,,
154,BMW,XM,Plug-in Hybrid,1,,Plug-in Hybrid,Plug-in Hybrid,,,,,
155,BMW,Z4,sDrive 20i [2019-2023],1,sDrive,sDrive 20i,sDrive 20i,,,,,
156,BMW,iX,xDrive 40,3,xDrive,xDrive 40,xDrive 40,,,,,
157,BYD,Atto 3,Extended Range,1,,Extended Range,Extended Range,,,,,
158,Bentley,Continental GT,Speed,1,,Speed,Speed,,,,,
159,Chevrolet,Beat,LS Diesel,2,Beat LS,LS Diesel,LS Diesel,,,,,
160,Chevrolet,Beat,LS Petrol,2,Beat LD,LS Petrol,LS Petrol,,,,,
161,Chevrolet,Cruze,LTZ,1,Cruze LTZ,LTZ,LTZ,,,,,
162,Chevrolet,Cruze,LTZ AT,1,Cruze LTZ,LTZ AT,LTZ AT,,,,,
163,Chevrolet,Enjoy,1.4 LT 7 STR,1,Enjoy,1.4 LT,1.4 LT,,,,,
164,Chevrolet,Sail,1.2 Base,1,Sail,1.2 Base,1.2 Base,,,,,
165,Chevrolet,Tavera,Neo 3-10 STR BS-III,1,Tavera,Neo 3-10,Neo 3-10,,,,,
166,Citroen,C3,Feel 1.2 Turbo Vibe Pack Dual Tone [2022],1,,Feel 1.2,Feel 1.2,,,,,
167,Citroen,C5 Aircross,Feel,1,,Feel,Feel,,,,,
168,Citroen,C5 Aircross,Shine Dual Tone,3,,Shine Dual,Shine Dual,,,,,
169,Citroen,eC3,Feel,1,,Feel,Feel,,,,,
170,Datsun,GO+,T [2018-2019],2,,T [2018-2019],T [2018-2019],,,,,
171,Datsun,GO+,T(O) [2018-2019],1,,T(O) [2018-2019],T(O) [2018-2019],,,,,
172,Datsun,Go,ANNIVERSARY EDITION,2,,ANNIVERSARY EDITION,ANNIVERSARY EDITION,,,,,
173,Datsun,Go,T,4,,T,T,,,,,
174,Datsun,Go,T (O),1,,T (O),T (O),,,,,
175,Datsun,Go,T CVT,1,,T CVT,T CVT,,,,,
176,Datsun,Go,T [2018-2019],3,,T [2018-2019],T [2018-2019],,,,,
177,Datsun,Go,T(O),2,,T(O),T(O),,,,,
178,Datsun,Go Plus,A(O),1,,A(O),A(O),,,,,
179,Datsun,Go Plus,Anniversary Edition,1,,Anniversary Edition,Anniversary Edition,,,,,
180,Datsun,Go Plus,T,5,,T,T,,,,,
181,Datsun,Go Plus,T (O),2,,T (O),T (O),,,,,
182,Datsun,Go Plus,T(O),1,,T(O),T(O),,,,,
183,Datsun,Redi Go,1.0 T(O) AT,1,,1.0 T(O),1.0 T(O),,,,,
184,Datsun,Redi Go,A,7,,A,A,,,,,
185,Datsun,Redi Go,S 1.0,5,,S 1.0,S 1.0,,,,,
186,Datsun,Redi Go,S 1.0 AMT,3,,S 1.0,S 1.0,,,,,
187,Datsun,Redi Go,SPORT,2,,SPORT,SPORT,,,,,
188,Datsun,Redi Go,T,3,,T,T,,,,,
189,Datsun,Redi Go,T (O),7,,T (O),T (O),,,,,
190,Datsun,Redi Go,T(O),3,,T(O),T(O),,,,,
191,Datsun,Redi Go,T(O) 1.0,6,,T(O) 1.0,T(O) 1.0,,,,,
192,Datsun,Redi Go,T(O) 1.0 AMT,9,,T(O) 1.0,T(O) 1.0,,,,,
193,Datsun,Redi Go,T(O) 1.0L LIMITED EDITION,2,,T(O) 1.0L,T(O) 1.0L,,,,,
194,Datsun,redi-GO,A,2,,A,A,,,,,
195,Datsun,redi-GO,S 1.0,3,,S 1.0,S 1.0,,,,,
196,Datsun,redi-GO,S 1.0 AMT [2018-2019],1,,S 1.0,S 1.0,,,,,
197,Datsun,redi-GO,S [2016-2019],1,,S [2016-2019],S [2016-2019],,,,,
198,Datsun,redi-GO,T (O) [2016-2019],3,,T (O),T (O),,,,,
199,Datsun,redi-GO,T(O) 1.0,2,,T(O) 1.0,T(O) 1.0,,,,,
200,Datsun,redi-GO,T(O) 1.0 AMT [2018-2019],1,,T(O) 1.0,T(O) 1.0,,,,,
201,Datsun,redi-GO,T(O) 1.0 [2017-2019],1,,T(O) 1.0,T(O) 1.0,,,,,
202,Fiat,Linea,Dynamic 1.4,1,,Dynamic 1.4,Dynamic 1.4,,,,,
203,Fiat,Punto,Dynamic 1.3,1,,Dynamic 1.3,Dynamic 1.3,,,,,
204,Fiat,Punto,Dynamic 1.4,1,,Dynamic 1.4,Dynamic 1.4,,,,,
205,Fiat,Punto Evo,Active Multijet 1.3 [2014-2016],1,,Active Multijet,Active Multijet,,,,,
206,Force Motors,Gurkha,4X4 [2021-2023],1,,4X4 [2021-2023],4X4 [2021-2023],,,,,
207,Force Motors,Gurkha,Soft Top 4X4,1,,Soft Top,Soft Top,,,,,
208,Ford,Aspire,Titanium1.5 TDCi,1,,Titanium1.5 TDCi,Titanium1.5 TDCi,,,,,
209,Ford,EcoSport,AMBIENTE 1.5L DIESEL,1,,AMBIENTE 1.5L,AMBIENTE 1.5L,,,,,
210,Ford,EcoSport,AMBIENTE 1.5L PETROL,4,,AMBIENTE 1.5L,AMBIENTE 1.5L,,,,,
211,Ford,EcoSport,Ambiente 1.5 TDCi,1,,Ambiente 1.5,Ambiente 1.5,,,,,
212,Ford,EcoSport,Ambiente 1.5L Ti-VCT,1,,Ambiente 1.5L,Ambiente 1.5L,,,,,
213,Ford,EcoSport,TITANIUM + 1.5L DIESEL,5,,TITANIUM +,TITANIUM +,,,,,
214,Ford,EcoSport,TITANIUM + 1.5L PETROL,2,,TITANIUM +,TITANIUM +,,,,,
215,Ford,EcoSport,TITANIUM + 1.5L PETROL AT,13,,TITANIUM +,TITANIUM +,,,,,
216,Ford,EcoSport,TITANIUM 1.0L ECOBOOST (OPT),1,,TITANIUM 1.0L,TITANIUM 1.0L,,,,,
217,Ford,EcoSport,TITANIUM 1.0L ECOBOOST SPORTS(SUNROOF),4,,TITANIUM 1.0L,TITANIUM 1.0L,,,,,
