make,model,variant,year,transmission,bodyType,fuelType,ownerNumber,odometerReading,cityRto,listingPrice,fitnessUpto,insuranceType,duplicateKey,city,registrationYear,registrationMonth,websiteUrl
Maruti Suzuki,Swift [2014-2018],ZXi,2017,Manual - 5 Gears,Hatchback,Petrol,First,"51,023",TN11AA1051,571000,MISSING,Comprehensive,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/maruti-suzuki-swift/dcj2fobu/
Hyundai,i10 [2010-2017],1.1L iRDE Magna Special Edition,2016,Manual - 5 Gears,Hatchback,Petrol,First,"66,052",TN22DC8129,380850,MISSING,Comprehensive,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/hyundai-i10/6l4k9zt9/
Hyundai,Verna [2011-2015],Fluidic 1.6 VTVT SX AT,2014,"Automatic - 4 Gears, Sport Mode",Sedan,Petrol,First,"60,128",TN01AV6519,525000,MISSING,Comprehensive,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/hyundai-verna/8f3v4dj7/
Hyundai,Elite i20 [2019-2020],Asta 1.2 (O) [2019-2020],2018,Manual - 5 Gears,Hatchback,Petrol,First,"51,162",TN14Q7644,675000,MISSING,Expired,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/hyundai-elite-i20/l56rkkhu/
MG,Hector,Savvy Pro 1.5 Turbo CVT 7 STR,2023,"Automatic (CVT) - 6 Gears, Manual Override",SUV,Petrol,First,"27,000",TN09CU1455,2250000,MISSING,Comprehensive,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/mg-hector/8637a48a6d83464786ded86b30131a4a/
Maruti Suzuki,Swift [2014-2018],VXi [2014-2017],2016,Manual - 5 Gears,Hatchback,Petrol,First,"25,208",TN09CC7788,495000,MISSING,Comprehensive,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/maruti-suzuki-swift/r2t1k9z6/
Jeep,Compass,Model S (O) 1.4 Petrol DCT [2021],2022,"Automatic (DCT) - 7 Gears, Manual Override",SUV,Petrol,First,"29,000",TN04CE3456,2190000,MISSING,Comprehensive,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/jeep-compass/pgy81t28/
Kia,Seltos [2022-2023],HTX 1.5 IVT,2023,"Automatic (CVT) - CVT Gears, Manual Override & Paddle Shift",SUV,Petrol,First,"12,000",TN09DA5679,1690000,MISSING,Zero Depreciation,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/kia-seltos/uhtuef71/
Mercedes-Benz,GLC [2016-2019],Celebration Edition Diesel,2018,Automatic - 9 Gears,SUV,Diesel,Second,"45,000",TN10AB3434,3750000,MISSING,Zero Depreciation,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/mercedes-benz-glc/6crp15gs/
Tata,Safari [2021-2023],XZA Plus,2021,"Automatic (TC) - 6 Gears, Manual Override, Sport Mode",SUV,Diesel,First,"20,000",TN01AA1599,2040000,MISSING,Zero Depreciation,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/tata-safari/lf6h7q98/
Tata,Harrier [2019-2023],XZA Plus,2023,"Automatic (TC) - 6 Gears, Manual Override, Sport Mode",SUV,Diesel,First,"1,800",TN09DF1188,2250000,MISSING,Comprehensive,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/tata-harrier/y0pkenxh/
Jeep,Compass,Model S (O) 1.4 Petrol DCT [2021],2022,"Automatic (DCT) - 7 Gears, Manual Override",SUV,Petrol,First,"16,000",TN01AA1599,2175000,MISSING,Zero Depreciation,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/jeep-compass/0tl5cb29/
MG,Hector Plus [2020-2023],Sharp 1.5 Petrol Turbo CVT 6-STR,2022,"Automatic (DCT) - 6 Gears, Manual Override",SUV,Petrol,First,"12,000",TN11AA2399,1890000,MISSING,Zero Depreciation,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/mg-hector-plus/pnoze8qp/
Tata,Nexon EV [2020-2022],XZ Plus,2022,"Automatic - 1 Gears, Sport Mode",Compact SUV,Electric,First,"30,000",TN01BQ3399,1150000,MISSING,Comprehensive,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/tata-nexon-ev/byvzx1cp/
Mercedes-Benz,M-Class,ML 350 CDI,2015,"Automatic - 7 Gears, Paddle Shift, Sport Mode",SUV,Diesel,First,"69,000",TN01AJ0555,3175000,MISSING,Zero Depreciation,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/mercedes-benz-m-class/u1al97zo/
BMW,3 Series [2016-2019],330i M Sport Edition,2021,"Automatic - 8 Gears, Manual Override",Sedan,Petrol,First,"33,000",TN06AB7000,4325000,MISSING,Comprehensive,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/bmw-3-series/jzazuhb1/
BMW,X5 [2019-2023],xDrive40i M Sport,2022,Automatic,SUV,Petrol,Second,"16,000",TN09BU0005,9000000,MISSING,Zero Depreciation,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/bmw-x5/2g67vn0m/
Mahindra,Alturas G4,4WD AT,2021,"Automatic (TC) - 7 Gears, Manual Override",SUV,Diesel,First,"40,000",TN01BD6363,2850000,MISSING,Comprehensive,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/mahindra-alturas-g4/kiv4tp12/
Mercedes-Benz,GLA [2017-2020],200 d Sport,2019,"Automatic - 7 Gears, Paddle Shift, Sport Mode",SUV,Diesel,First,"45,000",TN01BJ1599,2750000,MISSING,Zero Depreciation,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/mercedes-benz-gla/ajjf4f4o/
Kia,Seltos [2022-2023],HTK Plus 1.5 Diesel AT,2022,"Automatic (TC) - 6 Gears, Manual Override & Paddle Shift",SUV,Diesel,First,"20,000",TN11BC9090,1600000,MISSING,Comprehensive,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/kia-seltos/7r9kgg82/
Hyundai,Creta [2018-2019],SX 1.6 AT Petrol,2018,Automatic - 6 Gears,SUV,Petrol,First,"37,000",TN03Q7272,1125000,MISSING,Comprehensive,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/hyundai-creta/28ed26fe/
Toyota,Camry,Hybrid,2022,"Automatic (EV/Hybrid) - CVT Gears, Paddle Shift, Sport Mode",Sedan,Hybrid (Electric + Petrol),Second,"40,000",TN07AB7272,3675000,MISSING,Comprehensive,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/toyota-camry/il43pem1/
Maruti Suzuki,XL6 [2019-2022],Alpha AT Petrol,2022,Automatic (TC) - 4 Gears,MUV,Petrol,First,"20,000",TN05BD5678,1299000,MISSING,Comprehensive,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/maruti-suzuki-xl6/0aw53lzt/
Kia,Seltos [2019-2022],HTK Plus 1.5 Diesel AT,2021,"Automatic (TC) - 6 Gears, Manual Override",SUV,Diesel,First,"9,000",TN11AV0714,1575000,MISSING,Zero Depreciation,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/kia-seltos/bkoyuv5b/
Hyundai,Santro,Sportz AMT,2021,AMT - 5 Gears,Hatchback,Petrol,First,"37,000",TN06AC2399,565000,MISSING,Zero Depreciation,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/hyundai-santro/44sr1y6v/
BMW,X5 [2019-2023],xDrive40i M Sport [2019-2019],2021,"Automatic - 8 Gears, Manual Override, Sport Mode",SUV,Petrol,First,"19,000",TN09C1515,8550000,MISSING,Comprehensive,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/bmw-x5/ac40c98733dd4d0a90c615811be55cb8/
BMW,3 Series Gran Limousine [2021-2023],320Ld Luxury Line,2022,"Automatic (TC) - 8 Gears, Manual Override & Paddle Shift, Sport Mode",Sedan,Diesel,First,"16,000",TN07CC2499,4890000,MISSING,Zero Depreciation,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/bmw-3-series/djqe6l2j/
MG,Hector [2021-2023],Sharp 2.0 Diesel Turbo MT,2022,Manual - 6 Gears,SUV,Diesel,First,"18,000",TN09CX0909,1900000,MISSING,Comprehensive,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/mg-hector/4p3y744s/
